timestep,portfolio_value,portfolio_value_usd,cash,cash_usd,capacity_value,capacity_value_usd,wind_capacity,solar_capacity,hydro_capacity,battery_soc,battery_action,battery_revenue,operational_revenue,cash_return,noise_return,step_return,investments,total_investment_cost,price,wind_gen,solar_gen,hydro_gen,num_investments
1758,5522771533.36278,800801872.337603,1108974190.469894,160801257.61813462,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.11666666666666856,charge,-2813.499958333333,4974.008009783225,421.98393016969703,-279809.3959636075,4.6760818793608145e-07,[],0.0,675.23999,1500.0,0.0,982.606,0
1759,5522773993.123798,800802229.0029507,1108976650.2309132,160801614.2834824,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.1520833333333352,charge,-2653.673573611111,4691.4497266638755,421.98486615146385,628786.8241557088,4.4538525700253246e-07,[],0.0,636.8816576666667,1500.0,0.0,869.131,0
1760,5522776330.153809,800802567.8723022,1108978987.2609231,160801953.15283385,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.18750000000000186,charge,-2493.8471888888885,4408.891443544526,421.9857554319512,-1014753.5726069387,4.23162347967369e-07,[],0.0,598.5233253333333,1500.0,0.0,864.531,0
1761,5522778544.452763,800802888.9456506,1108981201.5598774,160802274.22618222,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.2229166666666685,charge,-2334.020804166666,4126.333160425175,421.9865980111413,-364269.24622371764,4.0093945900364604e-07,[],0.0,560.164993,1500.0,0.0,895.647,0
1762,5522780636.020615,800803192.2229891,1108983293.1277292,160802577.50352073,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.2583333333333352,charge,-2174.194419444444,3843.774877305826,421.98739388901646,49384.69053432111,3.787165889751445e-07,[],0.0,521.8066606666666,1500.0,0.0,782.83,0
1763,5522782604.857317,800803477.7043109,1108985261.9644315,160802862.98484257,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.29375000000000184,charge,-2014.3680347222216,3561.216594186476,421.9881430655588,677468.0791302974,3.5649373605492827e-07,[],0.0,483.4483283333333,1500.0,0.0,802.612,0
1764,5522784450.962824,800803745.3896095,1108987108.0699382,160803130.670141,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3291666666666685,charge,-1854.5416499999997,3278.6583110671268,421.9888455407506,-1012434.1026228147,3.3427089910678594e-07,[],0.0,445.089996,1500.0,12.4543,834.392,0
1765,5522786398.438208,800804027.77354,1108989055.5453227,160803413.05407178,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.36458333333333515,charge,-1986.5485923611109,3512.034390105748,421.98958658894065,-510032.98366966227,3.526256367689723e-07,[],0.0,476.77166216666666,1500.0,14.8343,896.322,0
1766,5522788447.283508,800804324.8561087,1108991104.390623,160803710.13664034,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.4000000000000018,charge,-2118.5555347222216,3745.41046914437,421.9903662101434,212739.45227909353,3.7098036260352796e-07,[],0.0,508.4533283333333,1500.0,15.9015,781.941,0
1767,5522790597.498764,800804636.6373208,1108993254.6058786,160804021.91785237,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.43541666666666845,charge,-2250.562477083333,3978.7865481829917,421.9911844043737,263169.98089531163,3.893350752544089e-07,[],0.0,540.1349945,1500.0,19.9323,843.563,0
1768,5522792849.084013,800804963.1171818,1108995506.1911275,160804348.39771348,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.4708333333333351,charge,-2382.569419444444,4212.162627221614,421.9920411716463,-316407.0015613675,4.0768977371093375e-07,[],0.0,571.8166606666666,1500.0,20.5518,836.576,0
1769,5522795202.039293,800805304.2956975,1108997859.1464086,160804689.57622924,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5062500000000018,charge,-2514.576361805555,4445.538706260235,421.99293651197564,-194618.28572462796,4.260444569624237e-07,[],0.0,603.4983268333333,1500.0,27.5806,768.387,0
1770,5522797656.364645,800805660.1728735,1109000313.4717603,160805045.45340523,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5416666666666684,charge,-2646.583304166666,4678.914785298857,421.9938704253766,682906.707677162,4.4439912434356205e-07,[],0.0,635.179993,1500.0,26.4562,821.747,0
1771,5522800257.334673,800806037.3135275,1109002914.441788,160805422.59405923,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5770833333333351,charge,-2837.548575,5016.523742392322,421.99486013962246,326337.89624389366,4.709515339433348e-07,[],0.0,681.011658,1500.0,30.3101,874.393,0
1772,5522806033.464431,800806874.8523424,1109008690.5715456,160806260.1328741,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5770833333333351,idle,0.0,5354.132699485785,421.9970580572631,-435917.73202752083,1.0458697560553729e-06,[],0.0,726.8433229999999,1500.0,31.4188,773.204,0
1773,5522812147.205472,800807761.3447934,1109014804.3125865,160807146.62532502,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5770833333333351,idle,0.0,5691.741656579252,421.9993844418577,-457570.325701626,1.1069990515941314e-06,[],0.0,772.674988,1500.0,40.432,918.022,0
1774,5522818598.557924,800808696.7908989,1109021255.6650395,160808082.0714307,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5770833333333351,idle,0.0,6029.3506136727165,422.00183929345513,-274962.93731718144,1.1681281709975422e-06,[],0.0,818.506653,1500.0,43.4902,870.944,0
1775,5522825387.521918,800809681.1906781,1109028044.629033,160809066.4712098,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5770833333333351,idle,0.0,6366.959570766182,422.0044226121044,262937.61800069193,1.2292571035736835e-06,[],0.0,864.3383180000001,1500.0,46.0639,864.929,0
1776,5522836306.473953,800811264.4387232,1109038963.5810676,160810649.7192548,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5354166666666684,discharge,3792.3749291666663,6704.568527859646,422.0085774628958,-145881.75905307475,1.977059071905507e-06,[],0.0,910.169983,1500.0,46.5122,848.125,0
1777,5522847667.83416,800812911.8359531,1109050324.9412744,160812297.1164848,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.4937500000000018,discharge,3952.2082437499994,6987.1390623332445,422.0129006576765,-264900.95607761823,2.0571604110891435e-06,[],0.0,948.5299785,1500.0,55.1996,793.186,0
1778,5522859471.602707,800814623.3823924,1109062128.7098217,160814008.66292414,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.45208333333333517,discharge,4112.041558333333,7269.709596806846,422.01739219651046,-377495.70166398276,2.1372612929023756e-06,[],0.0,986.889974,1500.0,56.3023,815.404,0
1779,5522871717.779763,800816399.0780656,1109074374.886878,160815784.3585973,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.41041666666666854,discharge,4271.8748729166655,7552.280131280445,422.0220520794619,-759885.8790409894,2.217361698098536e-06,[],0.0,1025.2499695,1500.0,69.6781,866.068,0
1780,5522884406.365497,800818238.922997,1109087063.4726117,160817624.20352867,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3687500000000019,discharge,4431.708187499999,7834.8506657540465,422.0268803065949,544702.7030129388,2.2974616072586608e-06,[],0.0,1063.609965,1500.0,73.3154,815.479,0
1781,5522897537.360076,800820142.9172109,1109100194.4671907,160819528.19774264,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3270833333333353,discharge,4591.541502083333,8117.421200227646,422.03187687797333,-200936.39776822762,2.3775610013095382e-06,[],0.0,1101.9699605,1500.0,76.5981,857.586,0
1782,5522911110.763669,800822111.060732,1109113767.870784,160821496.34126368,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.28541666666666865,discharge,4751.374816666666,8399.991734701247,422.0370417936614,247631.16847942557,2.457659860833013e-06,[],0.0,1140.329956,1500.0,72.2062,803.29,0
1783,5522924143.546142,800824000.8141905,1109126800.6532562,160823386.09472212,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.243750000000002,discharge,4556.055407638889,8054.685063523686,422.0420009936283,211425.28895609124,2.359766835140751e-06,[],0.0,1093.4532978333334,1500.0,84.0606,870.892,0
1784,5522936635.707287,800825812.1775565,1109139292.8144016,160825197.45808822,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.20208333333333534,discharge,4360.7359986111105,7709.378392346124,422.04675447779573,1075530.3408972109,2.2618744745585694e-06,[],0.0,1046.5766396666668,1500.0,98.0241,874.711,0
1785,5522948587.2469,800827545.1508003,1109151244.3540144,160826930.43133208,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.16041666666666868,discharge,4165.416589583333,7364.0717211685605,422.0513022460853,525936.2686574504,2.1639827506801597e-06,[],0.0,999.6999815,1500.0,107.408,767.108,0
1786,5522959998.164774,800829199.7338922,1109162655.2718892,160828585.01442394,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.11875000000000202,discharge,3970.0971805555555,7018.765049990999,422.05564429841894,-758467.8927855394,2.0660916345818095e-06,[],0.0,952.8233233333334,1500.0,113.864,851.944,0
1787,5522967093.681498,800830228.5838171,1109169750.7886124,160829613.86434877,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.11875000000000202,idle,0.0,6673.458378813437,422.05834426570317,-391240.0293972626,1.2847307831290801e-06,[],0.0,905.9466651666668,1500.0,105.454,772.581,0
1788,5522973843.894118,800831207.3646472,1109176501.0012329,160830592.64517877,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.11875000000000202,idle,0.0,6328.151707635874,422.0609128387823,-772045.1864692383,1.2222076478524904e-06,[],0.0,859.070007,1500.0,123.135,755.698,0
1789,5522980382.156729,800832155.4127256,1109183039.263844,160831540.69325736,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.11875000000000202,idle,0.0,6116.19921045901,422.0634007612037,-41248.61552836671,1.1838300877821125e-06,[],0.0,830.2966713333334,1500.0,134.54,819.141,0
1790,5522986708.469251,800833072.7280413,1109189365.5763655,160832458.008573,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.11875000000000202,idle,0.0,5904.246713282145,422.0658080329366,-267941.1877401668,1.1454526513208577e-06,[],0.0,801.5233356666666,1500.0,123.557,988.767,0
1791,5522992822.831601,800833959.3105822,1109195479.9387162,160833344.59111384,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.11875000000000202,idle,0.0,5692.29421610528,422.0681346539504,699708.5596279933,1.1070753331866195e-06,[],0.0,772.75,1500.0,141.274,887.775,0
1792,5522995625.339753,800834365.6742642,1109198282.446868,160833750.95479584,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.15416666666666867,charge,-3099.902768055555,5480.3417189284155,422.0692010569509,1019281.6820733249,5.07425637133316e-07,[],0.0,743.9766643333334,1500.0,149.822,918.696,0
1793,5522998335.785337,800834758.6888739,1109200992.8924525,160834143.9694056,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.18958333333333532,charge,-2980.0138694444436,5268.3892217515495,422.07023242854643,50840.063122294734,4.907564242603296e-07,[],0.0,715.2033286666666,1500.0,151.769,879.597,0
1794,5523000954.16832,800835138.3544064,1109203611.275435,160834523.63493806,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.22500000000000198,charge,-2860.124970833333,5056.436724574685,422.0712287687238,-25588.21959631877,4.740872299903943e-07,[],0.0,686.429993,1500.0,145.317,859.534,0
1795,5523003474.804028,800835503.846584,1109206131.9111423,160834889.12711564,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.26041666666666863,charge,-2732.8333124999995,4831.396832090145,422.0721879143662,718659.7028176636,4.563887873227417e-07,[],0.0,655.879995,1500.0,163.232,894.116,0
1796,5523005897.692423,800835855.1654012,1109208554.7995377,160835240.44593295,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.2958333333333353,charge,-2605.541654166666,4606.3569396056055,422.07310986545957,-1633.9528217171435,4.3869036229339316e-07,[],0.0,625.3299969999999,1500.0,168.594,817.453,0
1797,5523008222.833468,800836192.3108529,1109210879.9405835,160835577.5913846,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.33125000000000193,charge,-2478.249995833333,4381.317047121066,422.07399462198964,21605.982984299935,4.209919541353097e-07,[],0.0,594.779999,1500.0,175.193,873.042,0
1798,5523010450.227128,800836515.2829335,1109213107.3342428,160835900.5634652,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3666666666666686,charge,-2350.9583374999997,4156.277154636527,422.0748421839424,-713670.3635178657,4.0329356208145483e-07,[],0.0,564.230001,1500.0,176.086,908.456,0
1799,5523012579.8733635,800836824.0816376,1109215236.9804785,160836209.36216938,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.40208333333333524,charge,-2223.666679166666,3931.237262151987,422.0756525513036,-44545.85506592425,3.855951848467757e-07,[],0.0,533.6800029999999,1500.0,181.327,884.657,0
1800,5523014611.772139,800837118.7069601,1109217268.8792531,160836503.9874917,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.4375000000000019,charge,-2096.375020833333,3706.1973696674477,422.0764257240591,-605107.3561617233,3.6789682183691446e-07,[],0.0,503.130005,1500.0,188.816,911.909,0
1801,5523016602.892576,800837407.4194235,1109219259.9996908,160836792.69995517,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.47291666666666854,charge,-2043.270853472222,3612.3141076383604,422.0771833799495,722286.2368541328,3.6051333874403615e-07,[],0.0,490.3850048333333,1500.0,196.688,858.984,0
1802,5523018553.234661,800837690.2190259,1109221210.3417757,160837075.49955747,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5083333333333352,charge,-1990.1666861111105,3518.4308456092717,422.07792551896887,-323365.81835951604,3.5312986092838983e-07,[],0.0,477.6400046666666,1500.0,192.152,934.543,0
1803,5523020462.798378,800837967.1057647,1109223119.9054925,160837352.38629642,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5437500000000018,charge,-1937.0625187499998,3424.5475835801853,422.07865214111126,1330833.2022944905,3.4574638822642653e-07,[],0.0,464.8950045,1500.0,193.201,839.611,0
1804,5523022331.583712,800838238.0796381,1109224988.6908262,160837623.3601698,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5791666666666685,charge,-1883.9583513888888,3330.664321551098,422.0793632463709,-678606.8407406866,3.383629204745976e-07,[],0.0,452.15000433333336,1500.0,199.687,955.992,0
1805,5523024159.590646,800838503.1406436,1109226816.6977606,160837888.42117527,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6145833333333351,charge,-1830.8541840277776,3236.78105952201,422.0800588347419,-671929.8222235385,3.3097945733668226e-07,[],0.0,439.4050041666667,1500.0,180.512,878.871,0
1806,5523025946.819166,800838762.288779,1109228603.9262805,160838147.56931067,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6500000000000018,charge,-1777.7500166666664,3142.8977974929226,422.0807389062182,524541.0906021936,3.235959989944779e-07,[],0.0,426.660004,1500.0,204.77,831.078,0
1807,5523027730.1928215,800839020.877959,1109230387.2999368,160838406.1584908,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6854166666666685,charge,-1772.7291756944444,3134.021414489002,422.0814175108521,503265.2763339998,3.2289793176624466e-07,[],0.0,425.4550021666667,1500.0,199.686,791.402,0
1808,5523029509.711614,800839278.9081839,1109232166.8187282,160838664.18871558,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.7208333333333351,charge,-1767.7083347222217,3125.1450314850804,422.0820946486429,-323519.23331310536,3.2219986556002277e-07,[],0.0,424.2500003333333,1500.0,199.164,810.043,0
1809,5523031285.375538,800839536.379453,1109233942.4826531,160838921.6599847,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.7562500000000018,charge,-1762.68749375,3116.26864848116,422.0827703195901,252236.21296140866,3.215017991656432e-07,[],0.0,423.0449985,1500.0,206.716,802.558,0
1810,5523033057.184596,800839793.2917664,1109235714.2917106,160839178.57229802,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.7916666666666684,charge,-1757.6666527777777,3107.3922654772396,422.0834445236933,737545.1680283578,3.208037337903506e-07,[],0.0,421.8399966666667,1500.0,176.07,846.174,0
1811,5523034825.138783,800840049.6451236,1109237482.2458985,160839434.92565528,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8270833333333351,charge,-1752.645811805555,3098.5158824733194,422.08411726095176,507050.42700518854,3.201056682239768e-07,[],0.0,420.6349948333333,1500.0,173.44,786.995,0
1812,5523036589.238101,800840305.4395245,1109239246.3452156,160839690.72005624,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8625000000000017,charge,-1747.6249708333332,3089.639499469399,422.0847885313649,-829305.6122538977,3.194076035010934e-07,[],0.0,419.429993,1500.0,191.782,915.414,0
1813,5523038378.599057,800840564.8968632,1109241035.7061722,160839950.17739496,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8979166666666684,charge,-1780.5208006944442,3147.796287683663,422.08546941427045,548233.2441829578,3.2398136917627365e-07,[],0.0,427.3249921666667,1500.0,185.368,856.396,0
1814,5523040193.2216625,800840828.017141,1109242850.3287776,160840213.29767275,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.933333333333335,charge,-1813.4166305555552,3205.9530758979267,422.08615990967184,530503.224031258,3.2855513232629e-07,[],0.0,435.2199913333333,1500.0,182.733,854.45,0
1815,5523042033.1059265,800841094.8003592,1109244690.213041,160840480.08089095,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,charge,-1846.3124604166662,3264.1098641121916,422.08686001757275,613258.9094918481,3.331288927157129e-07,[],0.0,443.1149905,1500.0,172.421,792.756,0
1816,5523045777.460863,800841637.7318251,1109248434.5679781,160841023.01235682,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3322.266652326456,422.08828480962455,1486224.5748569183,6.779515553485773e-07,[],0.0,451.0099896666667,1500.0,177.093,812.657,0
1817,5523049579.974035,800842189.096235,1109252237.0811503,160841574.37676677,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3380.423440540719,422.08973173189446,-749884.1859989116,6.884811977600168e-07,[],0.0,458.9049888333333,1500.0,173.672,740.173,0
1818,5523053440.645465,800842748.8935924,1109256097.75258,160842134.1741241,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3438.5802287549836,422.0912007843908,216144.1930400601,6.990108225050994e-07,[],0.0,466.799988,1500.0,164.023,932.165,0
1819,5523057247.642702,800843300.9081918,1109259904.7498174,160842686.1887235,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3384.9045879008013,422.09264941292537,375349.71169103566,6.89292124024893e-07,[],0.0,459.5133211666666,1500.0,152.077,780.471,0
1820,5523061000.965727,800843845.1400304,1109263658.0728421,160843230.4205621,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3331.2289470466185,422.0940776174903,-189489.93842788428,6.795734421097505e-07,[],0.0,452.2266543333333,1500.0,132.223,784.344,0
1821,5523064700.614519,800844381.5891052,1109267357.7216337,160843766.86963686,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3277.553306192436,422.0954853980777,-580018.2409654139,6.698547764762961e-07,[],0.0,444.9399875,1500.0,146.765,922.181,0
1822,5523068346.589057,800844910.2554132,1109271003.6961718,160844295.5359449,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3223.8776653382542,422.09687275467996,-102763.10430924874,6.601361264958131e-07,[],0.0,437.6533206666667,1500.0,142.958,870.983,0
1823,5523071938.889321,800845431.1389515,1109274595.9964359,160844816.41948318,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3170.2020244840714,422.09823968728927,-153802.5240568523,6.504174924029426e-07,[],0.0,430.3666538333333,1500.0,132.165,857.723,0
1824,5523075477.515291,800845944.2397171,1109278134.6224058,160845329.52024883,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3116.5263836298896,422.0995861958978,-78637.0916603679,6.406988735689708e-07,[],0.0,423.079987,1500.0,115.971,868.782,0
1825,5523079089.056564,800846467.9132018,1109281746.1636791,160845853.19373345,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3189.440312927121,422.10096045004514,60581.74465979569,6.539004016548073e-07,[],0.0,432.9783226666667,1500.0,118.434,899.546,0
1826,5523082773.513169,800847002.1594095,1109285430.6202838,160846387.43994114,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3262.3542422243518,422.1023624497418,24599.084721274685,6.671019091973474e-07,[],0.0,442.87665833333335,1500.0,112.523,856.927,0
1827,5523086530.885133,800847546.9783442,1109289187.9922476,160846932.25887588,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3335.268171521582,422.1037921949982,-143531.04512715017,6.80303395328431e-07,[],0.0,452.774994,1500.0,109.16,774.838,0
1828,5523090361.172483,800848102.37001,1109293018.279598,160847487.6505417,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3408.1821008188135,422.1052496858251,-731817.5687483571,6.935048598705837e-07,[],0.0,462.6733296666667,1500.0,90.6141,888.756,0
1829,5523094264.375248,800848668.3344109,1109296921.482363,160848053.6149426,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3481.096030116045,422.1067349222329,-908980.4285812879,7.067063019556513e-07,[],0.0,472.5716653333334,1500.0,87.4067,873.295,0
1830,5523098240.493456,800849244.871551,1109300897.6005704,160848630.1520827,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3554.0099594132757,422.10824790423226,-88704.34139937488,7.199077215788354e-07,[],0.0,482.470001,1500.0,85.2946,910.837,0
1831,5523102238.859349,800849824.6346055,1109304895.9664638,160849209.91513723,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3576.2561241354488,422.10976935186244,828828.654368886,7.239353202246721e-07,[],0.0,485.4900001666667,1500.0,76.4531,789.886,0
1832,5523106259.472937,800850407.6235758,1109308916.580052,160849792.9041075,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3598.502288857622,422.11129926512655,853949.7627371182,7.279629116932311e-07,[],0.0,488.5099993333333,1500.0,66.5278,815.956,0
1833,5523110302.3342285,800850993.8384631,1109312959.441343,160850379.11899474,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3620.7484535797953,422.112837644028,-202316.0519817058,7.319904962811962e-07,[],0.0,491.5299985,1500.0,66.2766,872.108,0
1834,5523114367.443232,800851583.2792685,1109317024.550346,160850968.55980015,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3642.994618301969,422.1143844885698,537799.3185480639,7.36018073249231e-07,[],0.0,494.5499976666667,1500.0,61.3726,805.36,0
1835,5523118454.799953,800852175.9459932,1109321111.9070687,160851561.22652495,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3665.2407830241414,422.1159397987553,-388745.05183417967,7.400456427213505e-07,[],0.0,497.5699968333333,1500.0,54.8645,735.024,0
1836,5523122564.404406,800852771.8386388,1109325221.5115201,160852157.1191704,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3687.486947746315,422.1175035745877,122059.06649532853,7.44073205339578e-07,[],0.0,500.589996,1500.0,50.418,862.614,0
1837,5523126518.765997,800853345.2210695,1109329175.8731117,160852730.5016012,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3532.242583360912,422.1190082778171,967893.2008085212,7.15964845108509e-07,[],0.0,479.51499916666666,1500.0,44.8029,897.579,0
1838,5523130317.88467,800853896.0932771,1109332974.9917846,160853281.37380874,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3376.9982189755083,422.1204539084211,-463009.161183589,6.878565356807003e-07,[],0.0,458.4400023333333,1500.0,44.229,846.462,0
1839,5523133961.760365,800854424.4552528,1109336618.8674796,160853809.73578453,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3221.753854590105,422.12184046637714,-681304.3581233314,6.597482739951875e-07,[],0.0,437.3650055,1500.0,35.5764,880.397,0
1840,5523137450.393023,800854930.3069882,1109340107.5001378,160854315.58751997,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,3066.5094902047017,422.12316795166277,681185.3449848518,6.316400583723745e-07,[],0.0,416.29000866666667,1500.0,32.6081,873.239,0
1841,5523140783.782585,800855413.6484748,1109343440.8897,160854798.9290065,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2911.2651258192986,422.12443636425553,78901.77708013404,6.035318860966623e-07,[],0.0,395.2150118333333,1500.0,30.2179,853.676,0
1842,5523143961.928992,800855874.4797038,1109346619.036107,160855259.76023552,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2756.0207614338956,422.125645704133,-266620.37340554054,5.754237546251339e-07,[],0.0,374.140015,1500.0,28.2566,860.029,0
1843,5523147050.686711,800856322.3495731,1109349707.7938263,160855707.6301048,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2666.63089811914,422.1268210300629,79474.53771398163,5.592390385495491e-07,[],0.0,362.00501033333336,1500.0,22.3727,920.769,0
1844,5523150050.055709,800856757.2580777,1109352707.1628234,160856142.5386094,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2577.2410348043845,422.1279623420324,48615.41500895657,5.43054343845676e-07,[],0.0,349.87000566666666,1500.0,20.129,805.179,0
1845,5523152960.03595,800857179.2052126,1109355617.1430645,160856564.48574433,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2487.8511714896295,422.1290696400285,-77633.54326610795,5.268696693823278e-07,[],0.0,337.735001,1500.0,17.1781,892.124,0
1846,5523155780.627401,800857588.1909732,1109358437.7345157,160856973.47150475,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2398.461308174874,422.13014292403835,-174603.59434639377,5.106850148916641e-07,[],0.0,325.59999633333337,1500.0,16.9593,794.508,0
1847,5523158511.830028,800857984.215354,1109361168.9371426,160857369.49588567,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2309.071444860118,422.13118219404885,108542.7541967426,4.945003788971678e-07,[],0.0,313.46499166666666,1500.0,14.1066,813.893,0
1848,5523161153.643797,800858367.2783505,1109363810.7509115,160857752.55888215,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.9687500000000017,idle,0.0,2219.681581545363,422.13218745004724,864609.8748477809,4.783157614763412e-07,[],0.0,301.329987,1500.0,12.8929,913.508,0
