timestamp,wind,solar,hydro,load,market_price,scenario,revenue,battery_energy,npv,risk,profit_label
2017-07-01 00:00:00,1500.0,0.0,419.365,3290.835210151942,201.979996,scenario_012,387673.33502254,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 00:10:00,1500.0,0.0,499.422,2889.8534129428076,197.826663,scenario_012,395538.982188786,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 00:20:00,1489.99,0.0,455.56,2966.1804733748904,193.67333,scenario_012,376801.1471815,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 00:30:00,1473.35,0.0,426.598,3449.955321745799,189.519997,scenario_012,360078.13926015596,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 00:40:00,1456.71,0.0,493.018,3392.699520439802,185.36666400000001,scenario_012,361414.575067392,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 00:50:00,1440.07,0.0,501.443,3029.929121938037,181.213331,scenario_012,351828.037909803,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 01:00:00,1423.43,0.0,461.8,3495.546789899203,177.059998,scenario_012,333798.82002954005,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 01:10:00,1408.44,0.0,491.278,3225.071732508324,176.6383315,scenario_012,335563.017840517,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 01:20:00,1393.44,0.0,503.9,3445.976991759667,176.216665,scenario_012,334342.92717110005,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 01:30:00,1378.45,0.0,469.84,3303.7306904887464,175.79499850000002,scenario_012,324920.13777756505,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 01:40:00,1363.45,0.0,507.651,3401.0455846037194,175.373332,scenario_012,328141.216878532,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 01:50:00,1348.46,0.0,439.625,3336.3922006194857,174.9516655,scenario_012,312828.4488055675,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 02:00:00,1333.47,0.0,410.141,3450.0356856253784,174.529999,scenario_012,304312.42608638905,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 02:10:00,1324.98,0.0,322.168,3423.906367402789,174.37000033333334,scenario_012,287213.19730904937,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 02:20:00,1316.5,0.0,430.403,3818.786102355787,174.21000166666667,scenario_012,304327.974541505,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 02:30:00,1308.01,0.0,447.194,3780.537758007012,174.050003,scenario_012,305493.261465612,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 02:40:00,1299.53,0.0,437.085,3583.029919380232,173.89000433333334,scenario_012,301979.9898753317,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 02:50:00,1291.04,0.0,518.833,3981.9846293443184,173.73000566666667,scenario_012,314429.24654594704,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 03:00:00,1282.56,0.0,543.871,3970.6065579619094,173.570007,scenario_012,317013.64145501703,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 03:10:00,1275.46,0.0,501.851,3547.6317396216036,173.470006,scenario_012,308310.14983386605,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 03:20:00,1268.35,0.0,479.865,4087.366213066747,173.370005,scenario_012,303088.043291075,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 03:30:00,1261.25,0.0,336.413,3381.545131333944,173.270004,scenario_012,276827.074400652,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 03:40:00,1254.15,0.0,525.317,3680.201489848037,173.170003,scenario_012,308150.30572840106,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 03:50:00,1247.04,0.0,413.316,3925.7050870898793,173.070002,scenario_012,287357.81624071195,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 04:00:00,1239.94,0.0,475.818,3495.0548256912907,172.970001,scenario_012,296774.662975758,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 04:10:00,1239.83,0.0,437.724,3994.2234503680365,173.21833533333333,scenario_012,290583.11131177464,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 04:20:00,1239.73,0.0,486.343,3806.332457263475,173.46666966666666,scenario_012,299416.13491155236,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 04:30:00,1239.62,0.0,457.408,4001.8112925822616,173.715004,scenario_012,294799.22580811195,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 04:40:00,1239.51,0.0,372.002,3896.0970707390966,173.96333833333333,scenario_012,280344.00728422665,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 04:50:00,1239.41,0.0,444.453,3942.077034672775,174.21167266666666,scenario_012,293348.5897715113,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 05:00:00,1239.3,0.0,365.535,4135.316091086834,174.460007,scenario_012,279979.525333845,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 05:10:00,1238.29,0.0,374.468,3760.812869684513,176.30667133333333,scenario_012,284339.994646204,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 05:20:00,1237.27,0.0,360.377,4246.8897771712855,178.15333566666666,scenario_012,284626.142267843,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 05:30:00,1236.25,0.0,460.917,4149.347506349904,180.0,scenario_012,305490.06,0.0,9227320728.177927,0.46253850555691217,1
2017-07-01 05:40:00,1235.24,0.0,528.167,4040.6023993581316,181.84666433333334,scenario_012,320669.68081205036,0.0,9227320728.177927,0.46253850555691217,1
