valid_time,u100,v100,wind_speed_100m,number,expver
2018-01-04 08:00:00,5.6340294,-5.069254,7.578893,0,0001
2018-01-04 09:00:00,6.0588875,-4.085453,7.307602,0,0001
2018-01-04 10:00:00,5.3585215,-3.1818647,6.2320156,0,0001
2018-01-04 11:00:00,5.446315,-2.1188717,5.843968,0,0001
2018-01-04 12:00:00,4.8704348,-1.8464918,5.2087107,0,0001
2018-01-04 13:00:00,4.182459,-1.9763279,4.6258874,0,0001
2018-01-04 14:00:00,3.7106676,-1.3710756,3.9558694,0,0001
2018-01-04 15:00:00,2.1631174,-0.83410287,2.3183625,0,0001
2018-01-04 16:00:00,0.90045846,-0.31089973,0.95261955,0,0001
2018-01-04 17:00:00,-0.48797792,0.11474472,0.50128716,0,0001
2018-01-04 18:00:00,-1.8073463,0.5458994,1.8879901,0,0001
2018-01-04 19:00:00,-2.6613455,1.2374954,2.934988,0,0001
2018-01-04 20:00:00,-3.662818,1.72365,4.048111,0,0001
2018-01-04 21:00:00,-4.813073,1.4238319,5.01926,0,0001
2018-01-04 22:00:00,-5.732113,0.8691879,5.797638,0,0001
2018-01-04 23:00:00,-6.1353216,-0.6858244,6.1735344,0,0001
2018-01-05 00:00:00,-6.8036337,-2.5015268,7.2489357,0,0001
2018-01-05 01:00:00,-7.121892,-3.4965334,7.9339204,0,0001
2018-01-05 02:00:00,-7.045104,-3.697609,7.9564943,0,0001
2018-01-05 03:00:00,-6.297182,-3.054328,6.9988155,0,0001
2018-01-05 04:00:00,-5.201806,-3.2495642,6.1333885,0,0001
2018-01-05 05:00:00,-4.444582,-3.9661913,5.9569273,0,0001
2018-01-05 06:00:00,-2.911891,-4.0291996,4.9712734,0,0001
2018-01-05 07:00:00,-1.8108616,-4.0875626,4.4707255,0,0001
2018-01-05 08:00:00,-1.1773977,-3.9257736,4.0985317,0,0001
2018-01-05 09:00:00,-0.6083117,-3.5000305,3.5525,0,0001
2018-01-05 10:00:00,0.33811778,-0.9083198,0.9692102,0,0001
2018-01-05 11:00:00,1.2626171,-0.1976484,1.2779933,0,0001
2018-01-05 12:00:00,1.0060492,-0.27647245,1.0433465,0,0001
2018-01-05 13:00:00,0.75573254,-0.21453917,0.7855945,0,0001
2018-01-05 14:00:00,0.38284928,0.2528168,0.4587918,0,0001
2018-01-05 15:00:00,-0.15334266,0.7115352,0.7278711,0,0001
2018-01-05 16:00:00,-0.83132887,1.3366566,1.5740898,0,0001
2018-01-05 17:00:00,-1.0325899,2.4211235,2.6321247,0,0001
2018-01-05 18:00:00,-1.2928734,2.6027212,2.906145,0,0001
2018-01-05 19:00:00,-2.0501518,1.9801855,2.8503082,0,0001
2018-01-05 20:00:00,-2.751297,1.7594528,3.2657785,0,0001
2018-01-05 21:00:00,-3.9985313,1.6116123,4.3110957,0,0001
2018-01-05 22:00:00,-5.004218,0.9686873,5.097112,0,0001
2018-01-05 23:00:00,-5.3698597,1.0376587,5.469198,0,0001
2018-01-06 00:00:00,-5.492936,1.3047161,5.6457624,0,0001
2018-01-06 01:00:00,-5.005295,0.5959425,5.0406475,0,0001
2018-01-06 02:00:00,-4.4833584,-0.72345245,4.5413527,0,0001
2018-01-06 03:00:00,-4.4972467,-2.0667858,4.949427,0,0001
2018-01-06 04:00:00,-4.515602,-2.7195673,5.27131,0,0001
2018-01-06 05:00:00,-4.037092,-3.5763159,5.393343,0,0001
2018-01-06 06:00:00,-3.819727,-4.763362,6.105729,0,0001
2018-01-06 07:00:00,-3.5854397,-5.3019505,6.400473,0,0001
2018-01-06 08:00:00,-3.1899023,-5.03638,5.9615936,0,0001
2018-01-06 09:00:00,-2.715331,-4.2432575,5.037684,0,0001
2018-01-06 10:00:00,-1.2009325,-2.6076183,2.8708732,0,0001
2018-01-06 11:00:00,-0.6492306,-2.7418652,2.8176808,0,0001
2018-01-06 12:00:00,-0.69037616,-3.500454,3.5678842,0,0001
2018-01-06 13:00:00,-1.7700491,-4.1724014,4.532329,0,0001
2018-01-06 14:00:00,-3.353465,-4.267703,5.427616,0,0001
2018-01-06 15:00:00,-4.8221006,-5.039981,6.9752464,0,0001
2018-01-06 16:00:00,-5.794388,-5.689499,8.120673,0,0001
2018-01-06 17:00:00,-6.4433813,-6.0442,8.834563,0,0001
2018-01-06 18:00:00,-6.3322687,-5.5820723,8.441396,0,0001
2018-01-06 19:00:00,-5.858494,-5.996376,8.383225,0,0001
2018-01-06 20:00:00,-5.594805,-6.574088,8.6325245,0,0001
2018-01-06 21:00:00,-5.477173,-6.408883,8.430492,0,0001
2018-01-06 22:00:00,-5.6554728,-5.440462,7.8474836,0,0001
