valid_time,u100,v100,wind_speed_100m,number,expver
2024-01-01 00:00:00,-0.7981823,14.08522,14.107819,0,0001
2024-01-01 01:00:00,-0.7346312,13.2498455,13.270196,0,0001
2024-01-01 02:00:00,-1.4575901,11.982336,12.070664,0,0001
2024-01-01 03:00:00,-3.070942,11.283667,11.694093,0,0001
2024-01-01 04:00:00,-3.7690897,12.122635,12.695051,0,0001
2024-01-01 05:00:00,-2.9227629,12.644138,12.977549,0,0001
2024-01-01 06:00:00,-1.36127,11.400251,11.481236,0,0001
2024-01-01 07:00:00,-0.76644844,10.292808,10.321304,0,0001
2024-01-01 08:00:00,-0.69646174,10.095994,10.1199875,0,0001
2024-01-01 09:00:00,-0.7219879,10.862262,10.8862295,0,0001
2024-01-01 10:00:00,-1.2496386,10.754761,10.827118,0,0001
2024-01-01 11:00:00,-1.0156765,10.066204,10.117315,0,0001
2024-01-01 12:00:00,0.6379151,8.402919,8.427098,0,0001
2024-01-01 13:00:00,1.9812403,6.9012156,7.1799784,0,0001
2024-01-01 14:00:00,2.9245148,6.0174646,6.6904907,0,0001
2024-01-01 15:00:00,4.2276354,6.3900537,7.661964,0,0001
2024-01-01 16:00:00,5.5794077,7.046508,8.98794,0,0001
2024-01-01 17:00:00,5.922614,6.751644,8.981206,0,0001
2024-01-01 18:00:00,5.889929,6.4477043,8.732935,0,0001
2024-01-01 19:00:00,6.028331,6.3337317,8.743965,0,0001
2024-01-01 20:00:00,6.964552,6.3623476,9.433157,0,0001
2024-01-01 21:00:00,7.9344263,6.1372814,10.031019,0,0001
2024-01-01 22:00:00,7.973234,7.645545,11.046576,0,0001
2024-01-01 23:00:00,7.432108,8.154328,11.0331,0,0001
2024-01-02 00:00:00,6.300496,8.232074,10.36645,0,0001
2024-01-02 01:00:00,4.604474,8.55382,9.714372,0,0001
2024-01-02 02:00:00,1.8135042,8.760957,8.946684,0,0001
2024-01-02 03:00:00,-1.6295395,9.324165,9.4654875,0,0001
2024-01-02 04:00:00,-4.6880074,10.126333,11.1588545,0,0001
2024-01-02 05:00:00,-7.250182,9.942252,12.305019,0,0001
2024-01-02 06:00:00,-9.8016,8.981245,13.294139,0,0001
2024-01-02 07:00:00,-11.394865,7.7670155,13.790195,0,0001
2024-01-02 08:00:00,-12.558167,6.577962,14.1766405,0,0001
2024-01-02 09:00:00,-13.376932,5.802165,14.581064,0,0001
2024-01-02 10:00:00,-15.01733,5.853651,16.11786,0,0001
2024-01-02 11:00:00,-16.098236,5.399151,16.979517,0,0001
2024-01-02 12:00:00,-16.294998,5.5467997,17.213192,0,0001
2024-01-02 13:00:00,-15.882259,6.52919,17.171968,0,0001
2024-01-02 14:00:00,-16.267624,7.447501,17.891363,0,0001
2024-01-02 15:00:00,-16.52768,8.18335,18.442652,0,0001
2024-01-02 16:00:00,-17.411118,8.596671,19.417768,0,0001
2024-01-02 17:00:00,-16.871277,7.436611,18.437548,0,0001
2024-01-02 18:00:00,-16.688278,6.2328625,17.814241,0,0001
2024-01-02 19:00:00,-18.460938,5.873022,19.372625,0,0001
2024-01-02 20:00:00,-19.676605,4.950289,20.289755,0,0001
2024-01-02 21:00:00,-20.905884,3.1382189,21.140114,0,0001
2024-01-02 22:00:00,-21.593307,0.5775917,21.60103,0,0001
2024-01-02 23:00:00,-22.319733,-1.1641483,22.350073,0,0001
2024-01-03 00:00:00,-23.136124,-0.98832834,23.157225,0,0001
2024-01-03 01:00:00,-23.352722,-0.405093,23.356236,0,0001
2024-01-03 02:00:00,-23.36557,-0.12730634,23.365917,0,0001
2024-01-03 03:00:00,-22.733917,-0.63953644,22.74291,0,0001
2024-01-03 04:00:00,-22.003357,-1.7666769,22.074167,0,0001
2024-01-03 05:00:00,-21.109741,-3.2625875,21.360376,0,0001
2024-01-03 06:00:00,-20.191376,-5.201683,20.85064,0,0001
2024-01-03 07:00:00,-19.52362,-6.6231117,20.616434,0,0001
2024-01-03 08:00:00,-18.970947,-6.9533224,20.205088,0,0001
2024-01-03 09:00:00,-18.071777,-7.0992804,19.416203,0,0001
2024-01-03 10:00:00,-15.031513,-10.529663,18.352661,0,0001
