Target,Model,MAPE,RMSE,MAE
hydro,ANN,4.149149730801582,53.06274615299207,41.49149703979492
hydro,SVR,4.75131480688998,62.838228769626035,47.51314806889982
hydro,RF,4.69233768289805,61.098618718914516,46.9233768289805
hydro,LSTM,4.22091426188774,53.70734286411862,42.209142618877415
hydro,EMD LSTM,2.0472476000853566,27.439861227850848,20.472476000853565
hydro,EEMD LSTM,2.014601630433634,26.22892675419018,20.146016304336342
hydro,CEEMDAN LSTM,4.469049542448562,58.686696423797066,44.69049542448561
hydro,KARIJADI,2.1577736447113622,27.679690801346588,21.577736447113615
wind,ANN,0.5605422426015139,38.30478708813283,8.408132553100586
wind,SVR,2.1615257994172508,50.56314178498515,32.422886991258764
wind,RF,0.3091736509769711,36.89062591473594,4.637604764654566
wind,LSTM,0.43583316486382984,36.95044031590453,6.5374974729574475
wind,EMD LSTM,0.586411434612129,29.9458119043801,8.796171519181934
wind,EEMD LSTM,0.6052853748110886,14.160787002775466,9.079280622166328
wind,CEEMDAN LSTM,0.28515300225122897,9.75147031778169,4.277295033768435
wind,KARIJADI,0.17616024788986034,15.02985741388405,2.642403718347905
solar,ANN,0.3992664162069559,6.67385241755529,3.992663621902466
solar,SVR,0.6158256876635902,7.424240903836055,6.158256876635902
solar,RF,0.3038852636057046,5.6838532028512345,3.038852636057046
solar,LSTM,0.322451142398923,5.705758084015471,3.2245114239892305
solar,EMD LSTM,0.17435147557351402,2.8529698151037404,1.74351475573514
solar,EEMD LSTM,0.2023284810040133,2.802805022585388,2.0232848100401335
solar,CEEMDAN LSTM,0.12028489678812183,2.007789402815663,1.2028489678812184
solar,KARIJADI,0.16280762217207978,2.7400735373849257,1.628076221720798
load,ANN,3.822137787938118,233.46301734696655,185.79934692382812
load,SVR,3.754850582805874,229.7468032993166,182.52842851764427
load,RF,3.860942305689141,236.1508362932905,187.68569244321478
load,LSTM,3.7692844687057145,230.51606025223683,183.23007947621102
load,EMD LSTM,1.7709409535746952,114.1446360763955,86.08786478315092
load,EEMD LSTM,1.620934818214547,102.30392414258424,78.7958611330796
load,CEEMDAN LSTM,1.5246018024045913,97.74580404517839,74.11298132138359
load,KARIJADI,1.850055707590061,113.64262126578056,89.93374131126397
market_price,ANN,0.17987409373745322,20.381213405076775,12.559564590454102
market_price,SVR,2.7451415402889676,421.8166681199014,191.67730979623454
market_price,RF,1.1384599734433918,205.5017401385846,79.49205598970728
market_price,LSTM,0.5924068502204896,117.17249000318353,41.36433392908817
market_price,EMD LSTM,2.7590754374739435,235.6960857641029,192.6502330091893
market_price,EEMD LSTM,1.9384398264961495,173.35705354080935,135.35000862124937
market_price,CEEMDAN LSTM,1.499398421802085,136.3492457541033,104.69429411406239
market_price,KARIJADI,0.040228958376057125,6.553556874872431,2.8089548040629
