timestep,portfolio_value_usd,total_return,cash_usd,capacity_value_usd,wind_capacity_mw,solar_capacity_mw,hydro_capacity_mw,battery_soc,risk_free_return,method
53,800016134.1017796,2.0167627224475146e-05,800016134.1017796,0.0,0.0,0.0,0.0,0.0,16134.101779580116,Buy-and-Hold Strategy
54,800016438.5219219,2.0548152402341364e-05,800016438.5219219,0.0,0.0,0.0,0.0,0.0,16438.521921873093,Buy-and-Hold Strategy
55,800016742.94218,2.0928677725046873e-05,800016742.94218,0.0,0.0,0.0,0.0,0.0,16742.9421800375,Buy-and-Hold Strategy
56,800017047.362554,2.1309203192442654e-05,800017047.362554,0.0,0.0,0.0,0.0,0.0,17047.362553954124,Buy-and-Hold Strategy
57,800017351.7830437,2.1689728804677725e-05,800017351.7830437,0.0,0.0,0.0,0.0,0.0,17351.78304374218,Buy-and-Hold Strategy
58,800017656.2036494,2.207025456175208e-05,800017656.2036494,0.0,0.0,0.0,0.0,0.0,17656.203649401665,Buy-and-Hold Strategy
59,800017960.6243709,2.2450780463665724e-05,800017960.6243709,0.0,0.0,0.0,0.0,0.0,17960.62437093258,Buy-and-Hold Strategy
60,800018265.0452082,2.283130651026964e-05,800018265.0452082,0.0,0.0,0.0,0.0,0.0,18265.045208215714,Buy-and-Hold Strategy
61,800018569.4661614,2.3211832701712845e-05,800018569.4661614,0.0,0.0,0.0,0.0,0.0,18569.466161370277,Buy-and-Hold Strategy
62,800018873.8872304,2.359235903799534e-05,800018873.8872304,0.0,0.0,0.0,0.0,0.0,18873.88723039627,Buy-and-Hold Strategy
63,800019178.3084152,2.3972885518968106e-05,800019178.3084152,0.0,0.0,0.0,0.0,0.0,19178.308415174484,Buy-and-Hold Strategy
64,800019482.7297158,2.435341214478016e-05,800019482.7297158,0.0,0.0,0.0,0.0,0.0,19482.729715824127,Buy-and-Hold Strategy
65,800019787.1511323,2.47339389154315e-05,800019787.1511323,0.0,0.0,0.0,0.0,0.0,19787.1511323452,Buy-and-Hold Strategy
66,800020091.5726647,2.5114465830922126e-05,800020091.5726647,0.0,0.0,0.0,0.0,0.0,20091.5726647377,Buy-and-Hold Strategy
67,800020395.9943129,2.549499289110303e-05,800020395.9943129,0.0,0.0,0.0,0.0,0.0,20395.994312882423,Buy-and-Hold Strategy
68,800020700.4160769,2.5875520096123218e-05,800020700.4160769,0.0,0.0,0.0,0.0,0.0,20700.416076898575,Buy-and-Hold Strategy
69,800021004.8379568,2.6256047445982694e-05,800021004.8379568,0.0,0.0,0.0,0.0,0.0,21004.837956786156,Buy-and-Hold Strategy
70,800021309.2599524,2.6636574940532446e-05,800021309.2599524,0.0,0.0,0.0,0.0,0.0,21309.259952425957,Buy-and-Hold Strategy
71,800021613.6820639,2.7017102579921485e-05,800021613.6820639,0.0,0.0,0.0,0.0,0.0,21613.682063937187,Buy-and-Hold Strategy
72,800021918.1042913,2.739763036414981e-05,800021918.1042913,0.0,0.0,0.0,0.0,0.0,21918.104291319847,Buy-and-Hold Strategy
73,800022222.5266346,2.7778158293217422e-05,800022222.5266346,0.0,0.0,0.0,0.0,0.0,22222.526634573936,Buy-and-Hold Strategy
74,800022526.9490936,2.8158686366975307e-05,800022526.9490936,0.0,0.0,0.0,0.0,0.0,22526.949093580246,Buy-and-Hold Strategy
75,800022831.3716685,2.8539214585572482e-05,800022831.3716685,0.0,0.0,0.0,0.0,0.0,22831.371668457985,Buy-and-Hold Strategy
76,800023135.7943592,2.8919742949008943e-05,800023135.7943592,0.0,0.0,0.0,0.0,0.0,23135.794359207153,Buy-and-Hold Strategy
77,800023440.2171657,2.9300271457135678e-05,800023440.2171657,0.0,0.0,0.0,0.0,0.0,23440.217165708542,Buy-and-Hold Strategy
78,800023744.6400881,2.96808001101017e-05,800023744.6400881,0.0,0.0,0.0,0.0,0.0,23744.64008808136,Buy-and-Hold Strategy
79,800024049.0631263,3.006132890790701e-05,800024049.0631263,0.0,0.0,0.0,0.0,0.0,24049.063126325607,Buy-and-Hold Strategy
80,800024353.4862804,3.0441857850551607e-05,800024353.4862804,0.0,0.0,0.0,0.0,0.0,24353.486280441284,Buy-and-Hold Strategy
81,800024657.9095503,3.0822386937886474e-05,800024657.9095503,0.0,0.0,0.0,0.0,0.0,24657.90955030918,Buy-and-Hold Strategy
82,800024962.332936,3.120291617006064e-05,800024962.332936,0.0,0.0,0.0,0.0,0.0,24962.332936048508,Buy-and-Hold Strategy
83,800025266.7564377,3.158344554707408e-05,800025266.7564377,0.0,0.0,0.0,0.0,0.0,25266.756437659264,Buy-and-Hold Strategy
84,800025571.1800551,3.196397506892681e-05,800025571.1800551,0.0,0.0,0.0,0.0,0.0,25571.18005514145,Buy-and-Hold Strategy
85,800025875.6037884,3.234450473546982e-05,800025875.6037884,0.0,0.0,0.0,0.0,0.0,25875.603788375854,Buy-and-Hold Strategy
86,800026180.0276375,3.272503454685211e-05,800026180.0276375,0.0,0.0,0.0,0.0,0.0,26180.02763748169,Buy-and-Hold Strategy
87,800026484.4516025,3.310556450307369e-05,800026484.4516025,0.0,0.0,0.0,0.0,0.0,26484.451602458954,Buy-and-Hold Strategy
88,800026788.8756832,3.3486094603985545e-05,800026788.8756832,0.0,0.0,0.0,0.0,0.0,26788.87568318844,Buy-and-Hold Strategy
89,800027093.2998798,3.386662484973669e-05,800027093.2998798,0.0,0.0,0.0,0.0,0.0,27093.299879789352,Buy-and-Hold Strategy
90,800027397.7241923,3.424715524032712e-05,800027397.7241923,0.0,0.0,0.0,0.0,0.0,27397.724192261696,Buy-and-Hold Strategy
91,800027702.1486206,3.462768577575684e-05,800027702.1486206,0.0,0.0,0.0,0.0,0.0,27702.14862060547,Buy-and-Hold Strategy
92,800028006.5731647,3.500821645587683e-05,800028006.5731647,0.0,0.0,0.0,0.0,0.0,28006.57316470146,Buy-and-Hold Strategy
93,800028310.9978247,3.53887472808361e-05,800028310.9978247,0.0,0.0,0.0,0.0,0.0,28310.997824668884,Buy-and-Hold Strategy
94,800028615.4226005,3.576927825063467e-05,800028615.4226005,0.0,0.0,0.0,0.0,0.0,28615.422600507736,Buy-and-Hold Strategy
95,800028919.8474922,3.6149809365272525e-05,800028919.8474922,0.0,0.0,0.0,0.0,0.0,28919.847492218018,Buy-and-Hold Strategy
96,800029224.2724997,3.6530340624600646e-05,800029224.2724997,0.0,0.0,0.0,0.0,0.0,29224.27249968052,Buy-and-Hold Strategy
97,800029528.697623,3.691087202876806e-05,800029528.697623,0.0,0.0,0.0,0.0,0.0,29528.69762301445,Buy-and-Hold Strategy
98,800029833.1228622,3.729140357777476e-05,800029833.1228622,0.0,0.0,0.0,0.0,0.0,29833.12286221981,Buy-and-Hold Strategy
99,800030137.5482172,3.767193527147174e-05,800030137.5482172,0.0,0.0,0.0,0.0,0.0,30137.54821717739,Buy-and-Hold Strategy
100,800030441.973688,3.8052467110008e-05,800030441.973688,0.0,0.0,0.0,0.0,0.0,30441.9736880064,Buy-and-Hold Strategy
101,800030746.3992747,3.843299909338355e-05,800030746.3992747,0.0,0.0,0.0,0.0,0.0,30746.39927470684,Buy-and-Hold Strategy
102,800031050.8249773,3.881353122159839e-05,800031050.8249773,0.0,0.0,0.0,0.0,0.0,31050.82497727871,Buy-and-Hold Strategy
103,800031355.2507956,3.9194063494503496e-05,800031355.2507956,0.0,0.0,0.0,0.0,0.0,31355.2507956028,Buy-and-Hold Strategy
104,800031659.6767298,3.9574595912247896e-05,800031659.6767298,0.0,0.0,0.0,0.0,0.0,31659.676729798317,Buy-and-Hold Strategy
105,800031964.1027799,3.995512847483158e-05,800031964.1027799,0.0,0.0,0.0,0.0,0.0,31964.102779865265,Buy-and-Hold Strategy
106,800032268.5289458,4.0335661182254555e-05,800032268.5289458,0.0,0.0,0.0,0.0,0.0,32268.528945803642,Buy-and-Hold Strategy
107,800032572.9552275,4.07161940343678e-05,800032572.9552275,0.0,0.0,0.0,0.0,0.0,32572.95522749424,Buy-and-Hold Strategy
108,800032877.381625,4.1096727031320334e-05,800032877.381625,0.0,0.0,0.0,0.0,0.0,32877.38162505627,Buy-and-Hold Strategy
109,800033181.8081385,4.1477260173112156e-05,800033181.8081385,0.0,0.0,0.0,0.0,0.0,33181.80813848972,Buy-and-Hold Strategy
110,800033486.2347677,4.185779345959425e-05,800033486.2347677,0.0,0.0,0.0,0.0,0.0,33486.2347676754,Buy-and-Hold Strategy
111,800033790.6615127,4.223832689091563e-05,800033790.6615127,0.0,0.0,0.0,0.0,0.0,33790.661512732506,Buy-and-Hold Strategy
112,800034095.0883737,4.26188604670763e-05,800034095.0883737,0.0,0.0,0.0,0.0,0.0,34095.08837366104,Buy-and-Hold Strategy
113,800034399.5153505,4.299939418807626e-05,800034399.5153505,0.0,0.0,0.0,0.0,0.0,34399.515350461006,Buy-and-Hold Strategy
114,800034703.942443,4.337992805376649e-05,800034703.942443,0.0,0.0,0.0,0.0,0.0,34703.94244301319,Buy-and-Hold Strategy
115,800035008.3696514,4.3760462064296006e-05,800035008.3696514,0.0,0.0,0.0,0.0,0.0,35008.369651436806,Buy-and-Hold Strategy
116,800035312.7969757,4.4140996219664814e-05,800035312.7969757,0.0,0.0,0.0,0.0,0.0,35312.79697573185,Buy-and-Hold Strategy
117,800035617.2244159,4.45215305198729e-05,800035617.2244159,0.0,0.0,0.0,0.0,0.0,35617.22441589832,Buy-and-Hold Strategy
118,800035921.6519718,4.490206496477127e-05,800035921.6519718,0.0,0.0,0.0,0.0,0.0,35921.65197181702,Buy-and-Hold Strategy
119,800036226.0796436,4.528259955450892e-05,800036226.0796436,0.0,0.0,0.0,0.0,0.0,36226.07964360714,Buy-and-Hold Strategy
120,800036530.5074313,4.5663134289085866e-05,800036530.5074313,0.0,0.0,0.0,0.0,0.0,36530.50743126869,Buy-and-Hold Strategy
121,800036834.9353348,4.604366916850209e-05,800036834.9353348,0.0,0.0,0.0,0.0,0.0,36834.935334801674,Buy-and-Hold Strategy
122,800037139.3633541,4.64242041926086e-05,800037139.3633541,0.0,0.0,0.0,0.0,0.0,37139.363354086876,Buy-and-Hold Strategy
123,800037443.7914892,4.680473936155438e-05,800037443.7914892,0.0,0.0,0.0,0.0,0.0,37443.79148924351,Buy-and-Hold Strategy
124,800037748.2197403,4.718527467533946e-05,800037748.2197403,0.0,0.0,0.0,0.0,0.0,37748.21974027157,Buy-and-Hold Strategy
125,800038052.6481072,4.756581013396382e-05,800038052.6481072,0.0,0.0,0.0,0.0,0.0,38052.64810717106,Buy-and-Hold Strategy
