timestamp,wind,solar,hydro,price,cash
2025-01-15 02:30:00,0.33390281767981334,0.33298267150872873,0.333114510811458,0.0,0.0
2025-01-15 02:40:00,0.3339085227727954,0.3329791416211867,0.333112335606018,5.551115123125783e-17,0.0
2025-01-15 02:50:00,0.3339143416673762,0.33297554741499175,0.33311011091763204,0.0,0.0
2025-01-15 03:00:00,0.3339202735523748,0.33297188311363046,0.3331078433339946,0.0,0.0
2025-01-15 03:10:00,0.3339263201646808,0.3329681448362339,0.33310553499908535,1.3877787807814457e-17,0.0
2025-01-15 03:20:00,0.3339324943000576,0.3329643298182596,0.33310317588168287,0.0,0.0
2025-01-15 03:30:00,0.3339387963133806,0.3329604326426549,0.3331007710439645,0.0,0.0
2025-01-15 03:40:00,0.3339452324464151,0.33295645352129444,0.3330983140322905,0.0,0.0
2025-01-15 03:50:00,0.3339518050318456,0.3329523880150204,0.3330958069531339,1.3877787807814457e-17,1.1102230246251565e-16
2025-01-15 04:00:00,0.33395852058972,0.33294823663925677,0.33309324277102326,0.0,0.0
2025-01-15 04:10:00,0.33396537668646453,0.33294398971504513,0.33309063359849034,0.0,0.0
2025-01-15 04:20:00,0.3339723868667068,0.3329396435864554,0.3330879695468377,0.0,1.1102230246251565e-16
2025-01-15 04:30:00,0.33397955936410817,0.33293519929226295,0.3330852413436289,1.3877787807814457e-17,0.0
2025-01-15 04:40:00,0.3339868951019654,0.3329306513141086,0.3330824535839262,0.0,0.0
2025-01-15 04:50:00,0.33399439670907427,0.3329259947809634,0.3330796085099623,5.551115123125783e-17,0.0
2025-01-15 05:00:00,0.33400207247656766,0.3329212301764589,0.33307669734697337,2.7755575615628914e-17,0.0
2025-01-15 05:10:00,0.3340099201505417,0.33291634734760084,0.33307373250185746,0.0,0.0
2025-01-15 05:20:00,0.3340179596144425,0.33291136004566857,0.33307068033988907,0.0,0.0
2025-01-15 05:30:00,0.33402618070703777,0.33290624784754647,0.33306757144541577,1.3877787807814457e-17,0.0
2025-01-15 05:40:00,0.334034599893613,0.33290101700292957,0.33306438310345743,2.7755575615628914e-17,0.0
2025-01-15 05:50:00,0.3340432245590442,0.33289566333828535,0.33306111210267053,0.0,0.0
2025-01-15 06:00:00,0.3340520464822071,0.3328901673850386,0.33305778613275433,0.0,0.0
2025-01-15 06:10:00,0.33406108137841317,0.3328845404236357,0.33305437819795114,0.0,0.0
2025-01-15 06:20:00,0.33407035416503816,0.3328787804233379,0.3330508654116239,0.0,1.1102230246251565e-16
2025-01-15 06:30:00,0.3340798618350801,0.33287286911045616,0.33304726905446375,1.3877787807814457e-17,0.0
2025-01-15 06:40:00,0.33408961884039867,0.332866807781569,0.33304357337803225,1.3877787807814457e-17,1.1102230246251565e-16
2025-01-15 06:50:00,0.3340996304726567,0.3328605865913309,0.33303978293601244,1.3877787807814457e-17,0.0
2025-01-15 07:00:00,0.3341099106593836,0.3328542030319534,0.333035886308663,1.3877787807814457e-17,0.0
2025-01-15 07:10:00,0.33412046593959943,0.3328476499842606,0.33303188407613993,0.0,0.0
2025-01-15 07:20:00,0.3341312993704876,0.3328408949307408,0.3330278056987716,0.0,0.0
2025-01-15 07:30:00,0.33414244359739614,0.33283395588549913,0.3330236005171047,1.3877787807814454e-17,0.0
2025-01-15 07:40:00,0.33415389643899224,0.3328268212422441,0.33301928231876365,0.0,0.0
2025-01-15 07:50:00,0.3341656757129881,0.3328194855259281,0.33301483876108384,0.0,0.0
2025-01-15 08:00:00,0.3341777791990857,0.3328119324122244,0.3330102883886898,1.3877787807814457e-17,0.0
2025-01-15 08:10:00,0.33419023656471214,0.33280417165118337,0.33300559178410444,1.3877787807814457e-17,0.0
2025-01-15 08:20:00,0.33420309524536057,0.3327961468212207,0.33300075793341877,1.387778780781446e-17,0.0
2025-01-15 08:30:00,0.334216378389111,0.33278786000134697,0.332995761609542,0.0,0.0
2025-01-15 08:40:00,0.33423007835566215,0.33277926845688877,0.332990653187449,0.0,1.1102230246251565e-16
2025-01-15 08:50:00,0.29333356411979294,0.2933331907171934,0.2933332451630137,0.12,0.0
2025-01-15 09:00:00,0.293333564234105,0.29333319062129853,0.2933332451445964,0.11999999999999998,1.1102230246251565e-16
2025-01-15 09:10:00,0.29333356436247643,0.29333319052013623,0.29333324511738734,0.12,0.0
2025-01-15 09:20:00,0.2933335644876267,0.2933331904154685,0.2933332450969048,0.12,0.0
2025-01-15 09:30:00,0.29333356461139376,0.2933331903100998,0.2933332450785065,0.12,0.0
2025-01-15 09:40:00,0.2933335647288512,0.29333319020464577,0.29333324506650305,0.12,0.0
2025-01-15 09:50:00,0.2933335648490656,0.293333190105075,0.2933332450458594,0.12,0.0
2025-01-15 10:00:00,0.2933335649704357,0.29333319000538116,0.2933332450241831,0.12,0.0
2025-01-15 10:10:00,0.2933335650877416,0.2933331899076484,0.29333324500461,0.12,0.0
2025-01-15 10:20:00,0.29333356523663345,0.29333318979943745,0.2933332449639291,0.12,0.0
2025-01-15 10:30:00,0.29333356540826266,0.29333318966482275,0.29333324492691454,0.11999999999999998,1.1102230246251565e-16
2025-01-15 10:40:00,0.2933335656167359,0.29333318952933646,0.2933332448539276,0.11999999999999998,1.1102230246251565e-16
2025-01-15 10:50:00,0.2933335658493865,0.2933331893811078,0.2933332447695056,0.11999999999999998,1.1102230246251565e-16
2025-01-15 11:00:00,0.2933335661094452,0.2933331892189335,0.29333324467162125,0.11999999999999998,1.1102230246251565e-16
2025-01-15 11:10:00,0.2933335664043488,0.2933331890445947,0.29333324455105636,0.11999999999999998,1.1102230246251565e-16
2025-01-15 11:20:00,0.293333566708518,0.2933331888660496,0.2933332444254324,0.11999999999999998,0.0
2025-01-15 11:30:00,0.29333356702680324,0.2933331886867844,0.2933332442864124,0.12,0.0
2025-01-15 11:40:00,0.33425095474272287,0.3327654281424334,0.3329836171148437,4.4994390158148434e-17,0.0
2025-01-15 11:50:00,0.334239209887669,0.33277276779711595,0.3329880223152151,0.0,0.0
2025-01-15 12:00:00,0.33422808468719245,0.33277973399664984,0.3329921813161578,1.3877787807814457e-17,0.0
2025-01-15 12:10:00,0.33421733505863704,0.33278649217101697,0.33299617277034593,0.0,0.0
2025-01-15 12:20:00,0.3342317305355602,0.3327776516981861,0.33299061776625366,0.0,0.0
2025-01-15 12:30:00,0.3342465630537868,0.33276856695762846,0.3329848699885847,1.3877787807814457e-17,0.0
2025-01-15 12:40:00,0.29333356954542145,0.2933331872883794,0.29333324316619913,0.12,0.0
2025-01-15 12:50:00,0.2933335699205691,0.2933331870851453,0.2933332429942857,0.12,0.0
2025-01-15 13:00:00,0.293333570299222,0.29333318688712173,0.29333324281365625,0.12,0.0
2025-01-15 13:10:00,0.2933335706733654,0.2933331866790748,0.2933332426475598,0.12,0.0
2025-01-15 13:20:00,0.2933335710482856,0.29333318647578377,0.2933332424759305,0.11999999999999998,1.1102230246251565e-16
2025-01-15 13:30:00,0.2933335714222396,0.29333318627283383,0.2933332423049266,0.12,0.0
2025-01-15 13:40:00,0.29333357180072195,0.2933331860671933,0.2933332421320847,0.11999999999999998,1.1102230246251565e-16
2025-01-15 13:50:00,0.3342671575191773,0.3327567373089337,0.33297610517188886,1.6019087098473328e-16,1.1102230246251565e-16
2025-01-15 14:00:00,0.33425666326825165,0.3327633096562379,0.3329800270755104,1.3877787807814457e-17,0.0
2025-01-15 14:10:00,0.3342466653459487,0.33276955468976044,0.3329837799642909,1.3877787807814457e-17,0.0
2025-01-15 14:20:00,0.3342357270109929,0.33277636542316263,0.3329879075658445,0.0,0.0
2025-01-15 14:30:00,0.33422510755584367,0.33278302503944157,0.33299186740471487,0.0,0.0
2025-01-15 14:40:00,0.33421475110839066,0.33278950318358125,0.3329957457080281,1.3877787807814457e-17,0.0
2025-01-15 14:50:00,0.334204668787112,0.3327957927978177,0.33299953841507035,0.0,0.0
2025-01-15 15:00:00,0.3341948604477607,0.3328019228347945,0.3330032167174448,0.0,0.0
2025-01-15 15:10:00,0.33418530467529645,0.3328079171891454,0.3330067781355582,1.3877787807814457e-17,0.0
2025-01-15 15:20:00,0.3341760034980459,0.3328137298111112,0.3330102666908429,1.3877787807814454e-17,1.1102230246251565e-16
2025-01-15 15:30:00,0.33416691339833976,0.3328193674513566,0.3330137191503037,1.3877787807814457e-17,0.0
2025-01-15 15:40:00,0.33415807374197654,0.3328248913888633,0.3330170348691602,0.0,0.0
2025-01-15 15:50:00,0.3341494420911679,0.3328302655127106,0.33302029239612146,1.3877787807814457e-17,0.0
2025-01-15 16:00:00,0.3341410236318806,0.3328355074115643,0.3330234689565551,1.3877787807814457e-17,0.0
2025-01-15 16:10:00,0.3341328067842788,0.3328406223773597,0.33302657083836146,2.7755575615628914e-17,0.0
2025-01-15 16:20:00,0.3341247962459679,0.33284560519512163,0.3330295985589105,1.3877787807814457e-17,0.0
2025-01-15 16:30:00,0.3341169715694512,0.3328504552143249,0.3330325732162239,1.3877787807814457e-17,0.0
2025-01-15 16:40:00,0.33410934348829546,0.332855187587743,0.3330354689239615,1.3877787807814457e-17,0.0
